id,area_sq_km,country,fert_rate,med_age,migrants,net_change,pop_per_sq_km,pop_urban_perc,population,world_perc,year_change_perc
121,96320,Liberia,4.4,19,-5000,120307,53,53.0,5077411,0.06,2.44
122,68890,Ireland,1.8,38,23604,55291,72,63.0,4947267,0.06,1.13
123,622980,"Central African Republic",4.8,18,-40000,84582,8,43.0,4843954,0.06,1.78
124,263310,"New Zealand",1.9,38,14881,39170,18,87.0,4829021,0.06,0.82
125,1030700,Mauritania,4.6,20,5000,123962,5,57.0,14669775,0.06,2.74
126,74340,Panama,2.5,30,11200,68328,58,68.0,4326296,0.06,1.61
127,17820,Kuwait,2.1,37,39520,63488,240,,4281320,0.05,1.51
128,55960,Croatia,1.4,44,-8001,-25037,73,58.0,4100719,0.05,-0.61
129,32850,Moldova,1.3,38,-1387,-9300,123,43.0,4032294,0.05,-0.23
130,69490,Georgia,2.1,38,-10000,-7598,57,58.0,3987805,0.05,-0.19
131,101000,Eritrea,4.1,19,-39858,49304,35,63.0,3554797,0.05,1.41
132,175020,Uruguay,2.0,36,-3000,11996,20,96.0,3475842,0.04,0.35
133,51000,"Bosnia and Herzegovina",1.3,43,-21585,-20181,64,52.0,3277152,0.04,-0.61
134,1553560,Mongolia,2.9,28,-852,53123,2,67.0,3287242,0.04,1.65
135,28470,Armenia,1.8,35,-4998,5512,104,63.0,12964219,0.04,0.19
136,10830,Jamaica,2.0,31,-11332,12888,273,55.0,2963429,0.04,0.44
137,11610,Qatar,1.9,32,40000,48986,248,96.0,2889284,0.04,1.73
138,27400,Albania,1.6,36,-14000,-3120,105,63.0,12877239,0.04,-0.11
139,8870,"Puerto Rico",1.2,44,-97986,-72555,323,,2846860,0.04,-2.47
140,62674,Lithuania,1.7,45,-32780,-37338,43,71.0,12715340,0.03,-1.35
141,823290,Namibia,3.4,22,-4806,46375,3,55.0,2548663,0.03,1.86
142,10120,Gambia,5.3,18,-3087,68962,239,59.0,2427782,0.03,2.94
143,566730,Botswana,2.9,24,3000,47930,4,73.0,2359585,0.03,2.08
144,257670,Gabon,4.0,23,3260,53155,9,87.0,2234448,0.03,2.45
145,30360,Lesotho,3.2,24,-10047,16981,71,31.0,2145194,0.03,0.8
146,25220,"North Macedonoa",1.5,39,-1000,-85,83,59.0,12083359,0.03,0.0
147,20140,Slovenia,1.6,45,2000,284,103,55.0,12078989,0.03,0.01
148,62200,Latvia,1.7,44,-14837,-20545,30,69.0,1882408,0.02,-1.08
149,760,Bahrain,2.0,32,47800,60403,2239,89.0,1711057,0.02,3.68
150,28050,"Equatorial Guinea",4.6,22,16000,46999,50,73.0,11410419,0.02,3.47
151,5130,"Trinidad and Tobago",1.7,36,-800,4515,273,52.0,1400283,0.02,0.32
152,42390,Estonia,1.6,42,3911,887,31,68.0,11326693,0.02,0.07
153,14870,Timor-Leste,4.1,21,-5385,25326,89,33.0,1322667,0.02,1.96
154,2030,Mauritius,1.4,37,0,2100,626,41.0,1272140,0.02,0.17
155,9240,Cyprus,1.3,37,5000,8784,131,67.0,1208886,0.02,0.73
156,17200,Eswatini,3.0,21,-8353,12034,67,30.0,1162233,0.01,1.05
157,23180,Djibouti,2.8,27,900,14440,43,79.0,990447,0.01,1.48
158,18270,Fiji,2.8,28,-6202,6492,49,59.0,897573,0.01,0.73
159,2500,Réunion,2.3,36,-1256,6385,358,100.0,896422,0.01,0.72
160,1861,Comoros,4.2,20,-2000,18715,467,29.0,872695,0.01,2.2
161,196850,Guyana,2.5,27,-6000,3786,4,27.0,787215,0.01,0.48
162,38117,Bhutan,2.0,28,320,8516,20,46.0,773069,0.01,1.12
163,27990,"Solomon Islands",4.4,20,-1600,17061,25,23.0,689671,0.01,2.55
164,30,Macao,1.2,39,5000,8890,21645,,650846,0.01,1.39
165,13450,Montenegro,1.8,39,-480,79,47,68.0,628080,0.01,0.01
166,2590,Luxembourg,1.5,40,9741,10249,242,88.0,627704,0.01,1.66
167,266000,"Western Sahara",2.4,28,5582,14876,2,87.0,599769,0.01,2.55
168,156000,Suriname,2.4,29,-1000,5260,4,65.0,587541,0.01,0.9
169,4030,"Cabo Verde",2.3,28,-1342,6052,138,68.0,557026,0.01,1.1
170,300,Maldives,1.9,30,11370,9591,1802,35.0,542151,0.01,1.81
171,320,Malta,1.5,43,900,1171,1380,93.0,441750,0.01,0.27
172,5270,Brunei,1.8,32,0,4194,83,80.0,438202,0.01,0.97
173,1690,Guadeloupe,2.2,44,-1440,68,237,,400136,0.01,0.02
174,22810,Belize,2.3,25,1200,7275,17,46.0,398845,0.01,1.86
175,10010,Bahamas,1.8,32,1000,3762,39,86.0,393893,0.01,0.97
176,1060,Martinique,1.9,47,-960,-289,354,92.0,375213,0.0,-0.08
177,100250,Iceland,1.8,37,380,2212,3,94.0,341628,0.0,0.65
178,12190,Vanuatu,3.8,21,120,7263,25,24.0,308337,0.0,2.42
179,82200,"French Guiana",3.4,25,1200,7850,4,87.0,299958,0.0,2.7
180,430,Barbados,1.6,40,-79,350,668,31.0,287437,0.0,0.12
181,18280,"New Caledonia",2.0,34,502,2748,16,72.0,1285972,0.0,0.97
182,3660,"French Polynesia",2.0,34,-1000,1621,77,64.0,281191,0.0,0.58
183,375,Mayotte,3.7,20,0,6665,728,46.0,273905,0.0,2.5
184,960,"Sao Tome & Principe",4.4,19,-1680,4103,228,74.0,219844,0.0,1.91
185,2830,Samoa,3.9,22,-2803,1317,70,18.0,198643,0.0,0.67
186,610,"Saint Lucia",1.4,34,0,837,301,19.0,183774,0.0,0.46
187,190,"Channel Islands",1.5,43,1351,1604,915,30.0,174140,0.0,0.93
188,540,Guam,2.3,31,-506,1481,313,95.0,169031,0.0,0.89
189,444,Curaçao,1.8,42,515,669,370,89.0,164211,0.0,0.41
190,810,Kiribati,3.6,23,-800,1843,147,57.0,119760,0.0,1.57
191,700,Micronesia,3.1,24,-600,1208,164,21.0,115231,0.0,1.06
192,340,Grenada,2.1,32,-200,520,331,35.0,112614,0.0,0.46
193,390,"St. Vincent & Grenadines",1.9,33,-200,351,284,53.0,111002,0.0,0.32
194,180,Aruba,1.9,41,201,452,593,44.0,106845,0.0,0.43
195,720,Tonga,3.6,22,-800,1201,147,24.0,1105901,0.0,1.15
196,350,"U.S. Virgin Islands",2.0,43,-451,-153,298,96.0,104398,0.0,-0.15
197,460,Seychelles,2.5,34,-200,608,214,56.0,98453,0.0,0.62
198,440,"Antigua and Barbuda",2.0,34,0,811,223,26.0,98069,0.0,0.84
199,570,"Isle of Man",,,,449,149,53.0,85112,0.0,0.53
200,470,Andorra,,,,123,164,88.0,77287,0.0,0.16
201,750,Dominica,,,,178,96,74.0,72017,0.0,0.25
202,240,"Cayman Islands",,,,774,274,97.0,65854,0.0,1.19
203,50,Bermuda,,,,-228,1246,97.0,62237,0.0,-0.36
204,180,"Marshall Islands",,,,399,329,70.0,59259,0.0,0.68
205,460,"Northern Mariana Islands",,,,343,125,88.0,57619,0.0,0.6
206,410450,Greenland,,,,98,0,87.0,56787,0.0,0.17
207,200,"American Samoa",,,,-121,276,88.0,55169,0.0,-0.22
208,260,"Saint Kitts & Nevis",,,,376,205,33.0,53264,0.0,0.71
209,1396,"Faeroe Islands",,,,185,35,43.0,48896,0.0,0.38
210,34,"Sint Maarten",,,,488,1261,96.0,42960,0.0,1.15
211,1,Monaco,,,,278,26337,,39290,0.0,0.71
212,950,"Turks and Caicos",,,,526,41,89.0,38806,0.0,1.38
213,53,"Saint Martin",,,,664,730,0.0,38778,0.0,1.75
214,160,Liechtenstein,,,,109,238,15.0,38147,0.0,0.29
215,60,"San Marino",,,,71,566,97.0,33944,0.0,0.21
